,0.05,0.08,0.06,0.06,0.02,0.12,0.03,0.04,0.1,0.09,0.05,0.06,0.06,0.05,0.05,0.04,0.04,1.000
student_random_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,raw_score
37,1,1,0.8333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990
18,1,1,1,1,1,1,1,0.75,1,0.8888888889,1,1,1,1,1,1,1,0.980
24,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.980
34,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.980
8,1,1,0.8333333333,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,0.970
20,1,1,0.6666666667,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.970
23,1,1,1,1,1,1,1,1,1,0.8888888889,1,1,0.6666666667,1,1,1,1,0.970
27,1,1,1,1,1,1,1,0.5,1,0.8888888889,1,1,1,1,1,1,1,0.970
39,1,1,1,1,1,1,1,0.5,1,0.8888888889,1,1,1,1,1,1,1,0.970
3,1,1,1,1,1,1,1,0.5,1,1,0.8,1,1,1,1,0.75,1,0.960
29,1,1,0.6666666667,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.960
31,1,1,0.6666666667,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,0.960
11,1,0.875,0.8333333333,1,1,1,1,1,1,0.7777777778,0.8,1,1,1,1,1,1,0.950
16,1,1,0.8333333333,1,1,1,1,0.5,1,0.8888888889,0.8,1,1,1,1,1,1,0.950
25,1,1,0.6666666667,1,1,1,1,0.5,1,1,1,1,1,1,1,0.75,1,0.950
35,1,1,1,1,1,1,1,0.5,1,0.7777777778,1,1,1,1,1,0.75,1,0.950
36,1,1,1,1,1,1,1,0.75,1,0.7777777778,0.8,1,1,1,1,0.75,1,0.950
21,1,1,0.5,1,1,1,1,1,1,0.6666666667,1,1,1,1,1,1,1,0.940
10,1,1,1,1,1,1,1,0.5,0.8,0.8888888889,1,1,1,1,1,0.75,1,0.940
17,1,1,1,1,1,1,1,0,1,0.8888888889,1,1,1,1,1,0.75,1,0.940
12,1,1,1,1,1,0.6666666667,1,0.75,1,0.6666666667,1,1,1,1,1,1,1,0.920
7,1,0.75,0.6666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.920
30,1,1,1,1,1,1,1,0.75,1,0.3333333333,0.6,1,1,1,1,1,1,0.910
1,1,1,0.3333333333,1,1,1,1,1,1,0.8888888889,1,1,0.5,1,1,0.75,1,0.910
22,1,1,0.6666666667,1,1,1,1,0.5,0.6666666667,0.8888888889,0.8,1,1,1,1,1,1,0.907
4,1,1,0.8333333333,0.6666666667,1,1,1,0.5,1,0.6666666667,0.8,1,1,1,1,0.75,1,0.900
9,1,0.875,0.6666666667,1,1,1,1,0.75,1,0.5555555556,0.8,1,0.6666666667,1,1,0.75,1,0.880
32,1,1,1,0.6666666667,1,0.6666666667,1,0.25,1,0.6666666667,1,1,1,1,1,1,1,0.880
14,1,0.25,1,1,1,1,1,0.5,1,0.6,0.8,1,0.8333333333,1,1,1,1,0.864
28,1,0.25,1,1,1,1,1,0.5,0.8,0.6666666667,0.8,1,1,1,1,1,1,0.860
26,1,1,1,1,1,1,1,0.4,0.6,0.3333333333,0.8,1,1,1,1,0.75,1,0.856
6,1,1,0.3333333333,1,1,1,1,0.5,0.9,0.5555555556,0.8,0.6666666667,1,1,1,0.75,1,0.850
15,1,0.875,0.3333333333,1,1,1,1,0.75,0.7,0.4444444444,0.6,1,0.8333333333,1,1,1,1,0.830
19,1,1,0.3333333333,0.8333333333,1,1,1,0.5,0.7,0.6666666667,0.6,1,0.6666666667,1,1,1,1,0.830
2,0.6,1,0.8333333333,0.8333333333,1,1,1,0.5,0.7,0.4444444444,0.2,1,1,1,1,1,1,0.820
33,1,0.125,0.8333333333,1,1,1,1,0.5,1,0.8888888889,0.8,0.5,0.5,1,1,1,1,0.820
13,1,1,0.5,1,1,1,1,0.5,0.5,0.3333333333,0.6,1,0.8333333333,1,1,1,1,0.810
38,0.75,0.5,0.5,0.5,1,1,0,1,0.7,0.4444444444,0.6,0.8333333333,1,1,1,0.75,1,0.738
5,0.6,1,0.8333333333,1,1,0.6666666667,0,0.5,0.5,0.3333333333,0.2,1,0.5,1,1,1,1,0.700
